"""If you receive a love letter from me you are fucked forever.""",3
Fuck you.,3
"""For some reason retarded people amuse the hell out of me!""",2
You piece of shit.,3
"""Dont talk shit to me just tell me the truth""",2
??,0
You make out with Donald Trump,3
"""Though it may look like they rsquo;re initiating affection in actuality they&rsquo;re simply reminding you that you have something they need whether it be food water or a big hand that can reach the itch they&rsquo;ve trying to been scratch all day.""",0
When u get home early u bake or chill. Never hike!!!!,0
But it's not in kbm,0
"""I just wanna die cant believe my parents dont realize that""",3
You were born by mistake,3
??,0
Ur mom is a prostitute,3
"""On the other hand imagine how ticked off the fans of a singer get when the artist they love can't record a single folk song without somebody having to come along and tell them how so-and-so's version is sooooo much better.""",0
"""Somebody come get her she?? drinking all the liquor.""",3
Let me know!!!!,0
I wanna eat your marzipan in bed.,0
This version of the song is amazing. and i hadn't even heard of it until just a couple days ago.,0
And we where let out early??,0
My blood type is baller- and This is why Im hot.,1
You are not good looking. you are ugly,3
who the fcuk thought that a 5-day anime convention in the ballsack of los angeles was a god damn good idea,2
"""Good why?""",0
The only problem is that you were using me in a different,2
"""I even let your bitch keep the gold bottle came to the club with my dawgs OG purp on me Steve Urkle have a young nigga geeked.""",2
If come tonight i promise ill get u wet?,3
"""I ball like Jordan no shit I play full court. Blowing on the kush imma keep it short.""",0
If you press the biggest button at the top of the remote then it turns into a beacon,0
And why does she keep grabbing her crotch?,3
You are fucked and you are fucking us.,3
Hi,0
We wont,0
Do you want me to put you on the harassment form?,1
Nice,0
!,0
"""Now I can't wait for your CD to come on! You're on our """"Discover Great New Music"""" list! Also hate to mention it but since you mention Amazon and iTunes I thought I'd drop a quick plug for your album as available from BN and BN.com! Check it out!""",0
U have to be fucking kidding if u thought that I would ever invite u to my bday party,2
How many are we,0
????,0
If I do,0
"""You will be safe I?? just texting to say goodbye""",0
Dont u know that fat kids cant have friends?,2
I went to UO music school also.,0
"""I wanna spend the night with u but u cant tell ur parents cause they&rsquo;ll say Im too old and wont let us play together""",3
?,0
I dont wanna be ur friend anymore,1
"""Not only am I extensively trained in unarmed combat but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent you little shit.""",2
Why do people like you?,0
good nite!,0
Did u bring the cigarettes?,3
"""I wanna cum inside u babe why do u make me use condom?""",3
The countless interpretations over the years have only aided that perception.,0
I dont give a fuck for what u say,3
You are a degenerate.,0
Im gonna fuck ur small tight pussy,3
I wanna buy some green,3
And you know I'm rollin' weed that's fuckin' up the ozone.,3
"""Yo I just woke up????""",0
"""There was a chance that his cries could be heard by someone aboard the yacht but that chance was slender and grew more slender as the yacht""",0
Bitch!!,2
You think you killing them syllables. Quit playing.,0
"""Damn ain?? it crazy when you??e loveswept you??l do anything for the one you love cuz anytime that you needed me I?? be there it?? like you were my favorite drug.""",3
I hate u.,0
Women should be very afraid for their rights if Trump gets in and the GOP retains control of Congress. We will have lost our all the progress we've made for equal rights that we've suffered for since 1920.,0
"""Where there are pistol shots there are men.""",0
Make sure your volume is on because I tried to call you before and you didn't answer,0
I bought the bar and brought the hoe so a nigga can&rsquo;t tell me shit.,0
??,0
"""Rummage through the shit and try to salvage something to see if you can save any of it""",2
Amit I realized my shot looks really cool in slo-mo ??????,0
So face time me,0
"""You??e fucking dead kid. I can be anywhere anytime and I can kill you in over seven hundred""",3
Yes,0
Should we get u some borekas for lunch?,0
"""I don?? wanna do this shit anymore""",3
You still at the party??,0
"""I got robins on my jeans you see the wings on every pair.""",0
Did you bentch?,0
I wanna put my dick in her mouth and I wanna watch her swallow.,3
"""Since cats first got their adorable claws into us about 9500 years ago humans have had a love affair with felines.""",0
"Bah! They've no understanding.""",0
I started crying when I thought about you.,1
Is this dark ones?,0
You know it's stuff like this that really fucks up your emotions.,2
!,0
Don't tell no one cool?,0
"""Tell me what you see is it money or it's me?""",0
In the building,0
Hey don?? say anything but guess who?? still together after all the shit between them? ur buttcheeks!,2
"""Just pour me up the shots that cheap shit makes me sick.""",3
Hey,0
Isn't that boy a chayal,0
Im gonna beat the shit out of u,3
No,0
Fuck you,2
I wanna choke you every time you walk into the room.,3
"""The best sport in the world"""" agreed Rainsford.""",0
?,0
The fast one at 8 is on the factory,0
U better make me cum this time or ill kill u,3
"""Give up faggot it?? a dead man?? world and you??e bout to be dead by my knife cuz Imma stab you mofo.""",1
I dont even have to hurt you cuz you do it so fucking well on your own. Why you so stupid?,1
"""Nonsense"""" laughed Rainsford.""",0
Lol,0
How r u,0
Yea,0
Love you,0
Where was that pic taken? I don't recognize,0
"""All you see is Remy Boyz you know my niggas everywhere.""",3
"""(Those double standards man.)""",0
Nope. Home for over an bout,0
K,0
U down for it,1
U are very very ugly and ur face makes me wanna puke.,3
!!!!!!!,0
"""I am gonna eat u until u cum on my face""",3
Im gonna cut ur dick out,3
One sms,0
U will really tell?,0
You're a nerd,3
????,0
It's the best time for me today,0
Hour,0
8-Jul-16,0
"""Even more you told the world that you've fought it yourself.""",0
They come across as idiotic children who need to get their heads out of their asses.,2
The first thing Eli said was. Wow ur tall!,0
I'm on the bus ????????????,0
"""And she'll never fucking know that these fucking eyes that I'm staring at.""",0
"""I cant deal with u u lesbian""",3
Hey Tom,0
"""Black Panther Sex Cologne: 60% of the time it works.. EVERY TIME""",1
Let your bitch ride on me like she was on a feeder.,0
"""U know im gonna kill u the next time i see u so why dont u just kill yourself already?""",3
Which minyan,0
All I ever felt was this helplessness.,0
When is the Chanukah party,0
They dont fucking know how to run a business or manage other people.,2
"""Everyday I wake up celebrating shit cuz I just dodged a bullet from a crazy bitch.""",3
"""Kill yourself it&rsquo;s the only way to save your fucking soul.""",3
Nice,0
I'm at school ??????????,0
Stop being such a crying baby,3
"""Aside from how ridiculous Miley was who the fuck was that blonde moron who introduced her? That was even more uncomfortable than the actual performance.""",2
An opinion cannot be incorrect. An opinion is just that; an opinion.,0
That would be Julia,0
"""No one invited u to this conversationstupid little pussy""",3
Ur dad said that he might make u go to school for the morning and then he will pick u up,0
I don't care,0
The world is made up of two classes--the hunters and the huntees.,0
O,0
"""I need to call my GF like right now!!""",0
"""I bet you are some man hoe that likes this because you are a rapist. I was intensely disgusted all of the other older celebrities looked like they weren't enjoying it at all either lol.""",3
Don't voice massige,0
"""Today more than 80 million cats reside in U.S. homes with an estimated three cats for every dog on the planet.""",0
??,0
"""Some wounded thing--by the evidence a large animal--had thrashed about in the underbrush; the jungle weeds were crushed down and the moss was lacerated; one patch of weeds was stained crimson.""",3
"""It?? not even ben yehuda you are walking around a professional space dressing this way at""",0
"""stop talking to me i don't like you.""",1
I wish you were dead,3
"""Im gonna get her crazy drunk today then i wanna see her say no lol""",3
In 2009 the U.S. Gov. will start shipping retards away.,0
"""Why dont u invite ur friend to play with us tonight? If u do i promise it will be the last time ill get inside of u""",3
"""That is just amazing. Your music usually lifts me up makes me smile and even on occasion encourages me to sing.""",0
Cuz I only know 1 shul here and thats the one we always went to,0
And I told him and jo said I shouldn't say things like that to people,0
have this song played at my funeral when i die. to say that this version is soulless is a pretty dumb statement.,0
You're ugly.,1
Why dont u come here tomorrow? I wanna make love to u the entire night,3
Ugh you make me sick.,1
"""They have no idea. To them every twitch of the nose or spontaneous nap time is just another part of their everyday routine.""",0
"""Desperately he struck out with strong strokes after the receding lights of the yacht but he stopped before he had swum fifty feet.""",0
Idk tganks,0
I know,0
"""When I see you crying I get so happy cuz your mother?? cunt is less repulsive than you are. """,1
"""""""We should make it in a few days.""",0
U make me horny,3
Also you and your boyfriend are disgusting.,1
I'm on the bus ????????????,0
U suck,3
Amazing!!! Tysm. Pls make sure apartment door is closed,0
"""before racing all the way to the back of the throat where it finishes with a great blast the concussive force of the K catching up then with the hush of the F already on its way thus loading it with plenty of offense and edge and certainly ambiguity.""",0
Happy to hear that,0
U2,0
??,0
OMG You're so dumb and stupid you're a nerd,3
if you come to school tomorrow your ass is mine.,3
K,0
Yea,0
Hey ben,0
"""FUCK. A great by-the-bootstrap prayer or curse if you prefer depending on how you look at it or use it suited perfectly for hurling at the skies or at the world or sometimes if said just right for uttering with enough love and fire the woman beside you melts inside herself immersed in all that word-heat.""",0
I am also the opposite of what you are like.,0
?,0
TODAY,0
Sorry,0
